2020-09-28 14:32:06,485|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/cuu-giam-doc-imex-tra-vinh-bi-de-nghi-30-nam-tu-4167433.html
2020-09-28 14:32:06,610|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/thanh-nien-van-chuyen-hong-phien-bi-phat-tu-hinh-4167326.html
2020-09-28 14:32:06,657|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/toi-pham-my-phai-dong-thue-tren-thu-nhap-bat-chinh-4167449.html
2020-09-28 14:32:06,733|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/gian-lan-khi-bom-xang-bi-phat-the-nao-4166677.html
2020-09-28 14:32:06,764|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/song-bac-200-nguoi-o-sai-gon-hoat-dong-the-nao-4167765.html
2020-09-28 14:32:06,796|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/lua-dao-tien-mua-kim-cuong-trong-game-4167720.html
2020-09-28 14:32:06,889|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/tu-hinh-ke-giet-cha-vo-4167711.html
2020-09-28 14:32:06,938|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/canh-sat-anh-bi-nghi-pham-ban-chet-trong-don-4167701.html
2020-09-28 14:32:06,969|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/gan-100-nam-nu-phe-ma-tuy-trong-quan-karaoke-4167676.html
2020-09-28 14:32:07,016|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/trong-hon-300-cay-can-sa-giua-vuon-cam-4167587.html
2020-09-28 14:32:07,072|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/chu-tich-cong-ty-hoa-thang-nam-khang-cao-keu-oan-4167408.html
2020-09-28 14:32:07,127|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/chu-quan-bat-khach-quy-xin-loi-duoc-nan-nhan-xin-giam-an-4167571.html
2020-09-28 14:32:07,158|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/dap-pha-xe-may-cua-nguoi-can-ngan-4167483.html
2020-09-28 14:32:07,189|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/phat-hien-thi-the-nu-giao-vien-mat-tich-4167463.html
2020-09-28 14:32:07,271|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/200-nguoi-danh-bac-o-sai-gon-bi-vay-bat-4167460.html
2020-09-28 14:32:07,380|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/nguyen-giam-doc-benh-vien-bach-mai-bi-bat-4167456.html
